company_id,NAME OF COMPANY,company_code,Exchange,Marker,validation_status,validated_at
84,AksharChem India Limited,AKSHARCHEM,NSE,EQ,SUCCESS,2025-12-02T20:26:50.982472+00:00
85,Aksh Optifibre Limited,AKSHOPTFBR,NSE,EQ,SUCCESS,2025-12-02T20:26:51.979309+00:00
86,Akums Drugs and Pharmaceuticals Limited,AKUMS,NSE,EQ,SUCCESS,2025-12-02T20:26:52.742649+00:00
87,Akzo Nobel India Limited,AKZOINDIA,NSE,EQ,SUCCESS,2025-12-02T20:26:53.583688+00:00
88,Alankit Limited,ALANKIT,NSE,EQ,SUCCESS,2025-12-02T20:26:54.389375+00:00
89,Albert David Limited,ALBERTDAVD,NSE,EQ,SUCCESS,2025-12-02T20:26:55.179379+00:00
90,Alembic Limited,ALEMBICLTD,NSE,EQ,SUCCESS,2025-12-02T20:26:55.993032+00:00
91,Alicon Castalloy Limited,ALICON,NSE,EQ,SUCCESS,2025-12-02T20:27:49.262954+00:00
92,Alivus Life Sciences Limited,ALIVUS,NSE,EQ,SUCCESS,2025-12-02T20:27:50.737436+00:00
93,Alkali Metals Limited,ALKALI,NSE,EQ,SUCCESS,2025-12-02T20:27:51.844395+00:00
94,Alkem Laboratories Limited,ALKEM,NSE,EQ,SUCCESS,2025-12-02T20:27:53.053023+00:00
95,Alkyl Amines Chemicals Limited,ALKYLAMINE,NSE,EQ,SUCCESS,2025-12-02T20:27:53.842861+00:00
96,Allcargo Logistics Limited,ALLCARGO,NSE,EQ,SUCCESS,2025-12-02T20:27:54.472667+00:00
97,Alldigi Tech Limited,ALLDIGI,NSE,EQ,SUCCESS,2025-12-02T20:27:55.359105+00:00
98,Almondz Global Securities Limited,ALMONDZ,NSE,EQ,SUCCESS,2025-12-02T20:27:56.292335+00:00
99,Alok Industries Limited,ALOKINDS,NSE,EQ,SUCCESS,2025-12-02T20:27:57.177396+00:00
100,Alpa Laboratories Limited,ALPA,NSE,EQ,SUCCESS,2025-12-02T20:27:58.039299+00:00
101,Alphageo (India) Limited,ALPHAGEO,NSE,EQ,SUCCESS,2025-12-02T20:28:48.520514+00:00
102,Alps Industries Limited,ALPSINDUS,NSE,EQ,SUCCESS,2025-12-02T20:28:49.608392+00:00
103,Amber Enterprises India Limited,AMBER,NSE,EQ,SUCCESS,2025-12-02T20:28:50.678445+00:00
104,Ambica Agarbathies & Aroma industries Limited,AMBICAAGAR,NSE,EQ,SUCCESS,2025-12-02T20:28:51.472615+00:00
105,Ambika Cotton Mills Limited,AMBIKCO,NSE,EQ,SUCCESS,2025-12-02T20:28:52.270423+00:00
106,Ambuja Cements Limited,AMBUJACEM,NSE,EQ,SUCCESS,2025-12-02T20:28:53.037651+00:00
107,AMD Industries Limited,AMDIND,NSE,EQ,SUCCESS,2025-12-02T20:28:53.921470+00:00
108,Ami Organics Limited,AMIORG,NSE,EQ,SUCCESS,2025-12-02T20:28:54.684141+00:00
109,Amj Land Holdings Limited,AMJLAND,NSE,EQ,SUCCESS,2025-12-02T20:28:55.518950+00:00
110,Amines & Plasticizers Limited,AMNPLST,NSE,EQ,SUCCESS,2025-12-02T20:28:56.361246+00:00
111,Amrutanjan Health Care Limited,AMRUTANJAN,NSE,EQ,SUCCESS,2025-12-02T20:29:48.801772+00:00
112,Anand Rathi Wealth Limited,ANANDRATHI,NSE,EQ,SUCCESS,2025-12-02T20:29:49.829321+00:00
113,Anant Raj Limited,ANANTRAJ,NSE,EQ,SUCCESS,2025-12-02T20:29:50.712466+00:00
114,ANDHRA PAPER LIMITED,ANDHRAPAP,NSE,EQ,SUCCESS,2025-12-02T20:29:51.542552+00:00
115,The Andhra Sugars Limited,ANDHRSUGAR,NSE,EQ,SUCCESS,2025-12-02T20:29:52.498205+00:00
