company_id,NAME OF COMPANY,company_code,Exchange,Marker,validation_status,validated_at
137,Aptus Value Housing Finance India Limited,APTUS,NSE,EQ,SUCCESS,2025-12-11T07:49:04.934126+00:00
138,Archidply Industries Limited,ARCHIDPLY,NSE,EQ,SUCCESS,2025-12-11T07:49:05.097235+00:00
139,Archies Limited,ARCHIES,NSE,EQ,SUCCESS,2025-12-11T07:49:05.228032+00:00
140,Amara Raja Energy & Mobility Limited,ARE&M,NSE,EQ,SUCCESS,2025-12-11T07:49:05.362548+00:00
141,Rajdarshan Industries Limited,ARENTERP,NSE,EQ,SUCCESS,2025-12-11T07:50:04.101376+00:00
142,Aries Agro Limited,ARIES,NSE,EQ,SUCCESS,2025-12-11T07:50:04.253332+00:00
143,Arihant Capital Markets Limited,ARIHANTCAP,NSE,EQ,SUCCESS,2025-12-11T07:50:04.382926+00:00
144,Arihant Superstructures Limited,ARIHANTSUP,NSE,EQ,SUCCESS,2025-12-11T07:50:04.519541+00:00
145,Arkade Developers Limited,ARKADE,NSE,EQ,SUCCESS,2025-12-11T07:50:04.659820+00:00
146,Arman Financial Services Limited,ARMANFIN,NSE,EQ,SUCCESS,2025-12-11T07:50:04.798615+00:00
147,Aro Granite Industries Limited,AROGRANITE,NSE,EQ,SUCCESS,2025-12-11T07:50:04.944876+00:00
148,Arrow Greentech Limited,ARROWGREEN,NSE,EQ,SUCCESS,2025-12-11T07:50:05.095989+00:00
149,Arshiya Limited,ARSHIYA,NSE,EQ,SUCCESS,2025-12-11T07:50:05.233329+00:00
150,Artemis Medicare Services Limited,ARTEMISMED,NSE,EQ,SUCCESS,2025-12-11T07:50:05.368849+00:00
151,Art Nirman Limited,ARTNIRMAN,NSE,EQ,SUCCESS,2025-12-11T07:51:04.117152+00:00
152,Arvee Laboratories (India) Limited,ARVEE,NSE,EQ,SUCCESS,2025-12-11T07:51:04.265172+00:00
153,Arvind Limited,ARVIND,NSE,EQ,SUCCESS,2025-12-11T07:51:04.417535+00:00
154,Arvind Fashions Limited,ARVINDFASN,NSE,EQ,SUCCESS,2025-12-11T07:51:04.567486+00:00
155,Arvind SmartSpaces Limited,ARVSMART,NSE,EQ,SUCCESS,2025-12-11T07:51:04.734521+00:00
156,Asahi India Glass Limited,ASAHIINDIA,NSE,EQ,SUCCESS,2025-12-11T07:51:04.861437+00:00
157,Asahi Songwon Colors Limited,ASAHISONG,NSE,EQ,SUCCESS,2025-12-11T07:51:04.990235+00:00
158,Automotive Stampings and Assemblies Limited,ASAL,NSE,EQ,SUCCESS,2025-12-11T07:51:05.147103+00:00
159,Associated Alcohols & Breweries Ltd.,ASALCBR,NSE,EQ,SUCCESS,2025-12-11T07:51:05.296622+00:00
160,Ashapura Minechem Limited,ASHAPURMIN,NSE,EQ,SUCCESS,2025-12-11T07:51:05.453062+00:00
161,Ashiana Housing Limited,ASHIANA,NSE,EQ,SUCCESS,2025-12-11T07:52:04.119290+00:00
162,Ashima Limited,ASHIMASYN,NSE,EQ,SUCCESS,2025-12-11T07:52:04.282792+00:00
163,Ashoka Buildcon Limited,ASHOKA,NSE,EQ,SUCCESS,2025-12-11T07:52:04.410522+00:00
164,Ashoka Metcast Limited,ASHOKAMET,NSE,EQ,SUCCESS,2025-12-11T07:52:04.566865+00:00
165,Ashok Leyland Limited,ASHOKLEY,NSE,EQ,SUCCESS,2025-12-11T07:52:04.724758+00:00
166,Asian Energy Services Limited,ASIANENE,NSE,EQ,SUCCESS,2025-12-11T07:52:04.855381+00:00
167,Asian Hotels (North) Limited,ASIANHOTNR,NSE,EQ,SUCCESS,2025-12-11T07:52:04.985198+00:00
168,Asian Paints Limited,ASIANPAINT,NSE,EQ,SUCCESS,2025-12-11T07:52:05.122257+00:00
169,Asian Granito India Limited,ASIANTILES,NSE,EQ,SUCCESS,2025-12-11T07:52:05.304871+00:00
170,ASK Automotive Limited,ASKAUTOLTD,NSE,EQ,SUCCESS,2025-12-11T07:52:05.437210+00:00
171,Bartronics India Limited,ASMS,NSE,EQ,SUCCESS,2025-12-11T07:53:04.120199+00:00
172,Aspinwall and Company Limited,ASPINWALL,NSE,EQ,SUCCESS,2025-12-11T07:53:04.252290+00:00
173,Astec LifeSciences Limited,ASTEC,NSE,EQ,SUCCESS,2025-12-11T07:53:04.381646+00:00
174,Aster DM Healthcare Limited,ASTERDM,NSE,EQ,SUCCESS,2025-12-11T07:53:04.537103+00:00
175,Astral Limited,ASTRAL,NSE,EQ,SUCCESS,2025-12-11T07:53:04.694224+00:00
176,Astra Microwave Products Limited,ASTRAMICRO,NSE,EQ,SUCCESS,2025-12-11T07:53:04.831966+00:00
177,AstraZeneca Pharma India Limited,ASTRAZEN,NSE,EQ,SUCCESS,2025-12-11T07:53:04.979690+00:00
178,Astron Paper & Board Mill Limited,ASTRON,NSE,EQ,SUCCESS,2025-12-11T07:53:05.137019+00:00
179,Atal Realtech Limited,ATALREAL,NSE,EQ,SUCCESS,2025-12-11T07:53:05.289625+00:00
180,Atam Valves Limited,ATAM,NSE,EQ,SUCCESS,2025-12-11T07:53:05.416761+00:00
181,Agro Tech Foods Limited,ATFL,NSE,EQ,SUCCESS,2025-12-11T07:54:04.161807+00:00
182,Adani Total Gas Limited,ATGL,NSE,EQ,SUCCESS,2025-12-11T07:54:04.318527+00:00
183,Allcargo Terminals Limited,ATL,NSE,EQ,SUCCESS,2025-12-11T07:54:04.457062+00:00
184,ATLANTAA LIMITED,ATLANTAA,NSE,EQ,SUCCESS,2025-12-11T07:54:04.635424+00:00
185,Atlas Cycles (Haryana) Limited,ATLASCYCLE,NSE,EQ,SUCCESS,2025-12-11T07:54:04.821205+00:00
186,Atul Limited,ATUL,NSE,EQ,SUCCESS,2025-12-11T07:54:04.984481+00:00
187,Atul Auto Limited,ATULAUTO,NSE,EQ,SUCCESS,2025-12-11T07:54:05.115788+00:00
188,AU Small Finance Bank Limited,AUBANK,NSE,EQ,SUCCESS,2025-12-11T07:54:05.280014+00:00
189,Aurionpro Solutions Limited,AURIONPRO,NSE,EQ,SUCCESS,2025-12-11T07:54:05.412473+00:00
190,Aurobindo Pharma Limited,AUROPHARMA,NSE,EQ,SUCCESS,2025-12-11T07:54:05.539906+00:00
191,Aurum PropTech Limited,AURUM,NSE,EQ,SUCCESS,2025-12-11T07:55:04.116624+00:00
192,Ausom Enterprise Limited,AUSOMENT,NSE,EQ,SUCCESS,2025-12-11T07:55:04.239880+00:00
193,Automotive Axles Limited,AUTOAXLES,NSE,EQ,SUCCESS,2025-12-11T07:55:04.413574+00:00
194,Autoline Industries Limited,AUTOIND,NSE,EQ,SUCCESS,2025-12-11T07:55:04.568813+00:00
195,Avadh Sugar & Energy Limited,AVADHSUGAR,NSE,EQ,SUCCESS,2025-12-11T07:55:04.735850+00:00
196,Avalon Technologies Limited,AVALON,NSE,EQ,SUCCESS,2025-12-11T07:55:04.870679+00:00
197,Avantel Limited,AVANTEL,NSE,EQ,SUCCESS,2025-12-11T07:55:05.007962+00:00
198,Avanti Feeds Limited,AVANTIFEED,NSE,EQ,SUCCESS,2025-12-11T07:55:05.137217+00:00
199,AVG Logistics Limited,AVG,NSE,EQ,SUCCESS,2025-12-11T07:55:05.273547+00:00
200,Aditya Vision Limited,AVL,NSE,EQ,SUCCESS,2025-12-11T07:55:05.431382+00:00
201,Avonmore Capital & Management Services Limited,AVONMORE,NSE,EQ,SUCCESS,2025-12-11T07:56:04.133924+00:00
202,AVRO INDIA LIMITED,AVROIND,NSE,EQ,SUCCESS,2025-12-11T07:56:04.270604+00:00
203,AVT Natural Products Limited,AVTNPL,NSE,EQ,SUCCESS,2025-12-11T07:56:04.396640+00:00
204,Awfis Space Solutions Limited,AWFIS,NSE,EQ,SUCCESS,2025-12-11T07:56:04.540826+00:00
205,Antony Waste Handling Cell Limited,AWHCL,NSE,EQ,SUCCESS,2025-12-11T07:56:04.713312+00:00
206,Adani Wilmar Limited,AWL,NSE,EQ,SUCCESS,2025-12-11T07:56:04.845821+00:00
207,Axis Bank Limited,AXISBANK,NSE,EQ,SUCCESS,2025-12-11T07:56:04.982996+00:00
208,AXISCADES Technologies Limited,AXISCADES,NSE,EQ,SUCCESS,2025-12-11T07:56:05.124027+00:00
209,Axita Cotton Limited,AXITA,NSE,EQ,SUCCESS,2025-12-11T07:56:05.272730+00:00
210,AYM Syntex Limited,AYMSYNTEX,NSE,EQ,SUCCESS,2025-12-11T07:56:05.422261+00:00
211,Azad Engineering Limited,AZAD,NSE,EQ,SUCCESS,2025-12-11T07:57:04.180447+00:00
212,Bafna Pharmaceuticals Limited,BAFNAPH,NSE,EQ,SUCCESS,2025-12-11T07:57:04.329261+00:00
213,B.A.G Films and Media Limited,BAGFILMS,NSE,EQ,SUCCESS,2025-12-11T07:57:04.485335+00:00
214,Baid Finserv Limited,BAIDFIN,NSE,EQ,SUCCESS,2025-12-11T07:57:04.647452+00:00
215,Bajaj Auto Limited,BAJAJ-AUTO,NSE,EQ,SUCCESS,2025-12-11T07:57:04.782162+00:00
216,Bajaj Consumer Care Limited,BAJAJCON,NSE,EQ,SUCCESS,2025-12-11T07:57:04.927837+00:00
217,Bajaj Electricals Limited,BAJAJELEC,NSE,EQ,SUCCESS,2025-12-11T07:57:05.059937+00:00
218,Bajaj Finserv Limited,BAJAJFINSV,NSE,EQ,SUCCESS,2025-12-11T07:57:05.182558+00:00
219,Bajaj Healthcare Limited,BAJAJHCARE,NSE,EQ,SUCCESS,2025-12-11T07:57:05.330728+00:00
220,Bajaj Housing Finance Limited,BAJAJHFL,NSE,EQ,SUCCESS,2025-12-11T07:57:05.502876+00:00
221,Bajaj Hindusthan Sugar Limited,BAJAJHIND,NSE,EQ,SUCCESS,2025-12-11T07:58:04.162717+00:00
222,Bajaj Holdings & Investment Limited,BAJAJHLDNG,NSE,EQ,SUCCESS,2025-12-11T07:58:04.344151+00:00
223,Indef Manufacturing Limited,BAJAJINDEF,NSE,EQ,SUCCESS,2025-12-11T07:58:04.489358+00:00
224,Bajel Projects Limited,BAJEL,NSE,EQ,SUCCESS,2025-12-11T07:58:04.640862+00:00
225,Bajaj Finance Limited,BAJFINANCE,NSE,EQ,SUCCESS,2025-12-11T07:58:04.776588+00:00
226,Shree Tirupati Balajee Agro Trading Company Limited,BALAJEE,NSE,EQ,SUCCESS,2025-12-11T07:58:04.920290+00:00
227,Balaji Telefilms Limited,BALAJITELE,NSE,EQ,SUCCESS,2025-12-11T07:58:05.062140+00:00
228,Balaji Amines Limited,BALAMINES,NSE,EQ,SUCCESS,2025-12-11T07:58:05.207086+00:00
229,BALAXI PHARMACEUTICALS LIMITED,BALAXI,NSE,EQ,SUCCESS,2025-12-11T07:58:05.349940+00:00
230,Balkrishna Paper Mills Limited,BALKRISHNA,NSE,EQ,SUCCESS,2025-12-11T07:58:05.492092+00:00
231,Balkrishna Industries Limited,BALKRISIND,NSE,EQ,SUCCESS,2025-12-11T07:59:04.183665+00:00
232,Balmer Lawrie & Company Limited,BALMLAWRIE,NSE,EQ,SUCCESS,2025-12-11T07:59:04.339581+00:00
233,Bal Pharma Limited,BALPHARMA,NSE,EQ,SUCCESS,2025-12-11T07:59:04.468500+00:00
234,Balrampur Chini Mills Limited,BALRAMCHIN,NSE,EQ,SUCCESS,2025-12-11T07:59:04.594494+00:00
235,Balu Forge Industries Limited,BALUFORGE,NSE,EQ,SUCCESS,2025-12-11T07:59:04.721693+00:00
236,Banaras Beads Limited,BANARBEADS,NSE,EQ,SUCCESS,2025-12-11T07:59:04.849371+00:00
237,Bannari Amman Sugars Limited,BANARISUG,NSE,EQ,SUCCESS,2025-12-11T07:59:04.985592+00:00
238,Banco Products (I) Limited,BANCOINDIA,NSE,EQ,SUCCESS,2025-12-11T07:59:05.149534+00:00
239,Bandhan Bank Limited,BANDHANBNK,NSE,EQ,SUCCESS,2025-12-11T07:59:05.327166+00:00
240,Bang Overseas Limited,BANG,NSE,EQ,SUCCESS,2025-12-11T07:59:05.458362+00:00
241,Banka BioLoo Limited,BANKA,NSE,EQ,SUCCESS,2025-12-11T08:00:04.162565+00:00
242,Bank of Baroda,BANKBARODA,NSE,EQ,SUCCESS,2025-12-11T08:00:04.324772+00:00
